d,chi_PS,chi_PC,J_tot,J_tot_err
12,0.5,-1.25,3.8846,0.010106
14,0.5,-1.25,6.0175,0.038308
4,0.5,-1.0,0.4134,0.0001
8,0.5,-1.0,0.1373,0.0001
12,0.5,-1.0,0.0326,9.5e-05
14,0.5,-1.0,0.0084,0.0
16,0.5,-1.0,0.0013,0.0
18,0.5,-1.0,0.0001,0.0
4,0.5,-1.4,0.9991,0.0002
6,0.5,-1.4,1.6025,0.0003
8,0.5,-1.4,4.0561,0.0008
10,0.5,-1.4,11.4198,0.0029
12,0.5,-1.4,24.8616,0.2996
14,0.5,-1.4,36.4488,3.8868
16,0.5,-1.4,41.7724,4.4828
4,0.5,-1.3,0.7904,0.0002
6,0.5,-1.3,0.9627,0.0002
8,0.5,-1.3,1.7453,0.0004
10,0.5,-1.3,3.72,0.0012
12,0.5,-1.3,7.861,0.0038
14,0.5,-1.3,14.1716,0.0115
16,0.5,-1.3,19.8135,0.0312
18,0.5,-1.3,19.6351,1.2747
16,0.5,-1.3,17.4452,0.0186
20,0.5,-1.3,10.49,0.1483
20,0.5,-1.3,10.5204,0.0416
22,0.5,-1.3,2.9363,0.0658
24,0.5,-1.3,0.4283,0.1154
20,0.5,-1.4,40.3571,1.1565
22,0.5,-1.4,30.3571,1.1565
22,0.5,-1.4,29.3168,1.61
12,0.5,-1.3,7.7221,0.0037
24,0.5,-1.4,24.6754,0.7423
