Protein,Arg/Lys,Charge_pH7.4,Passage_Rate,Mac98A,Nup116,Nsp1,MW,MW_err,Oligomer,Plasmid
yNTF2 (dimer),10R/6K,-15.0,600.0,290.0,1400.0,800.0,28.0,,1.0,pSF360
rNTF2 (dimer),4R/8K,-14.6,680.0,3200.0,13000.0,890.0,28.0,,1.0,pDG2121
mCherry,8R/24K,-6.4,1.0,0.05,0.09,0.4,28.0,,1.0,pSF779
EGFP,6R/21K,-8.1,3.5,0.11,0.33,0.98,28.0,0.6%,1.0,pSF1526
shGFP2,11R/24K,-6.2,0.47,0.05,0.05,0.24,29.0,1.4%,1.0,pSF1438
sinGFP1,1R/34K,-6.4,0.23,0.05,0.05,0.18,28.0,1.5%,1.0,pSF2893
sinGFP4a,1R/34K,-11.4,0.1,0.05,0.05,,28.0,0.5%,1.0,pDG2754
efGFP_0W,6R/20K,-10.1,6.0,0.09,0.42,3.0,28.0,1.6%,1.0,pSF2646
efGFP_3W,6R/20K,-10.1,82.0,1.5,14.0,104.0,33.0,0.5%,1.2,pSF2647
efGFP_5W,6R/19K,-11.1,87.0,2.2,15.0,170.0,56.0,0.3%,2.0,pSF2648
efGFP_8F,6R/18K,-11.0,43.0,8.3,51.0,102.0,170.0,1.9%,6.0,pSF2653
efGFP_8L,6R/18K,-11.0,33.0,1.8,10.0,90.0,59.0,0.2%,2.2,pSF2651
efGFP_8I,6R/18K,-11.0,68.0,2.9,23.0,102.0,56.0,0.2%,2.1,pSF2650
efGFP_8M,6R/18K,-11.0,110.0,3.0,17.0,92.0,48.0,0.5%,1.7,pSF2652
efGFP_8R,14R/18K,-3.0,19.0,0.5,1.9,5.8,30.0,0.7%,1.0,pSF2892
sffrGFP4,26R/1K,-7.7,160.0,14.0,50.0,9.8,29.0,1.8%,1.0,pDG2805
sffrGFP4_18xR/K,8R/19K,-8.1,3.8,0.12,0.31,0.76,28.0,2.2%,1.0,pSF2884
sffrGFP4_25xR/K,1R/26K,-9.2,1.6,0.06,0.1,0.54,27.0,1.8%,1.0,pSF2885
sffrGFP4_duplicate,26R/1K,-7.7,160.0,14.0,50.0,,29.0,0.3%,1.0,pDG2805
sffrGFP5,26R/1K,-15.7,64.0,0.67,5.5,,28.0,1.0%,1.0,pDG2806
sffrGFP6,26R/1K,-1.7,280.0,100.0,160.0,,29.0,1.6%,1.0,pDG2713
sffrGFP7,26R/1K,-0.3,310.0,200.0,200.0,,29.0,1.4%,1.0,pDG2715
GFP_MaxR_5W,23R/4K,-7.8,830.0,2100.0,4000.0,690.0,140.0,0.4%,5.0,pSF2903
GFP_MaxR_8i,25R/1K,-8.7,1300.0,2000.0,4100.0,640.0,47.0,1.6%,1.7,pSF2905
GFPNTR_2B7,25R/1K,-10.7,1600.0,1200.0,1600.0,,65.0,1.7%,2.4,pDG2718
GFPNTR_7B3,25R/1K,-9.7,1700.0,1700.0,1400.0,,42.0,2.0%,1.6,pDG2798
